Comment	Comment Reply
Thank u sir nice information 👍	Most welcome. For more information, you can contact us. 
Good evening sir. Super saree video.	जी शुक्रिया। किसी भी प्रकार की जानकारी के लिए आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं। धन्यवाद। 
बहुत सुन्दर आप बोलते हैं	जी, धन्यवाद। किसी भी जानकारी के लिए आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं। 
Sir mai 10000 se business start karna chahta hu kya aur kaise kare koi idea dijiye	आप कम से कम 20,000 से 25,000 का कपड़ा मंगवा सकते हैं। अधिक जानकारी के लिए आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं, धन्यवाद। 
Saw Womens dress material is it also available Mens and kids ?	For information about any products, please contact our sales executives. Thank you. 
Koi costomer shop me kaise aayega	For business inquiries, please contact our sales executive. Thank you. 
Aisi soch kewal bade dill wala insaan rakhta hai.. bless him	Thank you, sir. 
Generosity..  I remember..  Decades back if an ad appears in a  newspaper asking for financial assistance for medical reasons, sindhis use to come forward and donate generously....  Salute to them....	जी शुक्रिया। किसी भी प्रकार की जानकारी के लिए आप हमारे सेल्स एग्जीक्यूटिव से संपर्क करें, धन्यवाद। 
Supar se upar ❤	Thanks! 
Sir shaadi ke liye aapke yahan se kapda khariden to mil jaega	Yes, certainly. Please contact us for more information. Thank you. 
Sir ji may ranchi jharkhand se hu may bussiness apne  ghar se start kerna chahta hu shop nahi hai mera kaise kiya jaye bataye	हाँ, ज़रूर। आप अपना बिजनेस शुरू कर सकते हैं। हम आपको बिजनेस की पूरी जानकारी देंगे। हमारे सेल्स एग्जीक्यूटिव से संपर्क करें। धन्यवाद। 
Aap sach kharahay ho.	Aapke sahyog aur vishwas ke liye bahut bahut dhanyavad. 
Best story for business	जी शुक्रिया। किसी भी प्रकार की जानकारी के लिए आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं, धन्यवाद। 
बहुत सुंदर sir	Dhanyawad sir. For more information, please contact us. 
Yes sir ji ❤❤❤❤❤	नमस्ते, जानकारी के लिए आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं, धन्यवाद। 
Shipping jyada hoga	नमस्ते, किसी भी प्रकार की जानकारी के लिए आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं। धन्यवाद। 
Irsad ansari jharkad se hu naya dukan karna chahta hu	आप अपनी नई शॉप खोलने के लिए हमसे संपर्क करें। धन्यवाद। 
Hello sir mai sangli se hu pata nahi muze kisi bhi business me success kyon nahi milta?	नमस्ते, किसी भी प्रकार की जानकारी के लिए आप हमारे सेल्स एग्जीक्यूटिव से संपर्क करें, धन्यवाद। 
